"";"t_start";"t_end";"Mean(R)";"Std(R)";"Quantile.0.025(R)";"Quantile.0.05(R)";"Quantile.0.25(R)";"Median(R)";"Quantile.0.75(R)";"Quantile.0.95(R)";"Quantile.0.975(R)"
"35";36;42;0,664623117505694;0,210419528780607;0,340225252003094;0,376545643511917;0,514930097801542;0,63532364193384;0,781821940300598;1,04613208076046;1,16338561293406
"36";37;43;0,95445850494432;0,272686881212092;0,521225830827833;0,567736195363548;0,756781677101525;0,921823474450874;1,11797997666352;1,45042535824091;1,57574528440879
"37";38;44;1,11072003114341;0,290744121276014;0,623126885960727;0,685757426977931;0,904141461737761;1,08305876273624;1,28717745437975;1,62839732541378;1,74872205791244
"38";39;45;1,24008249500104;0,306367681042462;0,727907669714395;0,794381061297212;1,02304659206041;1,20892592834703;1,42250037943923;1,79534830506031;1,928773592253
"39";40;46;1,43782061228956;0,33057935413713;0,880312525004643;0,9528574120487;1,20362624341573;1,40757082881413;1,63647552241105;2,03426695894089;2,17706616484451
"40";41;47;2,50962676121745;0,46348750799998;1,72229156594549;1,82510860898431;2,18269201843478;2,47005361280526;2,79061933895069;3,33540879486499;3,53330108230493
"41";42;48;2,62474462662336;0,560709235274922;1,57472548612921;1,72188097285436;2,24565622938871;2,61235832002925;2,98204944916398;3,57105895780353;3,78132950892218
"42";43;49;3,1853276360359;0,784529880475777;1,79499407773408;1,94651499711152;2,61344835978819;3,16570817220158;3,71093733190607;4,50855341885391;4,76763526174086
"43";44;50;2,62633310707335;0,774150401877553;1,35793408426047;1,48610682974807;2,042664817809;2,55304359298496;3,1397321068685;4,00305925774605;4,26880451546017
"44";45;51;2,49100834859575;0,766768332190227;1,3938158938535;1,49029950194189;1,93053501456399;2,35072653752018;2,91033565261703;3,98822761531492;4,32406256061571
"45";46;52;1,97405515050735;0,581433189121538;1,18471255221416;1,26328289775;1,57047605564544;1,86412798773181;2,23992408119269;3,0771127660748;3,4526431387054
"46";47;53;1,98615828292992;0,494467925285636;1,31836733425586;1,38704484259606;1,65110691894404;1,89623433862666;2,20626579800838;2,87531631946701;3,21423218630577
"47";48;54;1,575231617772;0,32474483431679;1,08339735196228;1,14359075258656;1,35309323757801;1,53002109895957;1,7409369404808;2,16325939742245;2,36235039326113
"48";49;55;1,55488702547138;0,261863775242101;1,138771442852;1,19115678432936;1,36963209335756;1,52352152909576;1,69778568432051;2,03645938185951;2,18216329800068
"49";50;56;1,24422488426977;0,186702429200926;0,931712678130338;0,972446595297608;1,11370703948498;1,22435876793098;1,35665835824831;1,58070547844597;1,66330031383056
"50";51;57;1,32537472572628;0,16714771464575;1,03766271842029;1,07697278621804;1,2093947958511;1,31127645405655;1,42520437445572;1,62575817630286;1,69833442843543
"51";52;58;1,206647864165;0,138851407311237;0,962390567001356;0,995934537070188;1,10914485655252;1,19740189036853;1,29109646615807;1,45094678548097;1,51371231656648
"52";53;59;1,1739990075749;0,126302569596948;0,946847236997781;0,979446239158194;1,08552004460182;1,16680171626896;1,25436960827721;1,39191774538977;1,44202096952351
"53";54;60;1,09146536624244;0,111598405010705;0,887796712822469;0,916842860053359;1,01453218097354;1,08594588259561;1,16253435883094;1,28440692009251;1,32599945760237
"54";55;61;1,03135951770327;0,104227171020222;0,839579391162777;0,867684051020072;0,959263049057827;1,02700587227365;1,09856546059473;1,21002056326956;1,24736153513812
"55";56;62;0,93798713858744;0,0964877900282095;0,758841253152942;0,785258690822462;0,870559881173793;0,934425420352245;1,00161143130076;1,10120076425763;1,13538002081377
"56";57;63;0,905155261464981;0,0942759779064631;0,731154547580512;0,757069381536472;0,839712944249311;0,901831143551295;0,966494892160275;1,0660388087289;1,10104847715337
"57";58;64;0,857831762091805;0,0924972246038955;0,68642458539479;0,711491070334111;0,794173962553233;0,853980827321113;0,91750844862531;1,01707218011801;1,04969379465503
"58";59;65;1,0453015563946;0,106996925173566;0,84874319332202;0,878187747084128;0,970287396143098;1,03964942151753;1,11500664306941;1,22904539781308;1,2667672124775
"59";60;66;1,08976622112008;0,107031365511696;0,890535406054656;0,918203956623496;1,0162429484852;1,08722481691879;1,16032154185646;1,27147117726067;1,30785329677553
"60";61;67;1,42593524764991;0,121286521334399;1,19728883090281;1,23272864845329;1,34247220607401;1,42307565321228;1,50565042422276;1,6290273518145;1,67202155784222
"61";62;68;1,40345807936145;0,13807894952562;1,13324400924976;1,17622347086803;1,31085812126163;1,40368162285798;1,49512704081752;1,6326019593735;1,67233706150106
"62";63;69;1,34615160529342;0,153229314372701;1,05103328959865;1,09402539412174;1,2399935043348;1,34568695951739;1,4496255528298;1,59836875434201;1,65311303900906
"63";64;70;1,35680031048442;0,158748875129566;1,07420619051882;1,11285646651718;1,2444739800359;1,34605886772367;1,45984177830312;1,63444890830206;1,68960717330805
"64";65;71;1,58899191962339;0,175035290135623;1,29132628631739;1,33093975621823;1,46517800469183;1,57323853728635;1,69434767783245;1,90211931822162;1,98190889031274
"65";66;72;1,56464002282682;0,177147346056929;1,23735311883873;1,28618171756484;1,44658602776449;1,55685120803664;1,67301716679994;1,86586612816592;1,93915515699074
"66";67;73;1,70812703945204;0,19700876028636;1,33305399104141;1,38669659934898;1,57605962211762;1,70818347630328;1,83574022542789;2,03426851457734;2,10434033270959
"67";68;74;1,50839789533035;0,193845487368259;1,13807459977625;1,18885401282162;1,37514298088693;1,50944214650386;1,64022259563144;1,82702950164184;1,88969723200757
"68";69;75;1,44724188222287;0,187855957095682;1,12131621672225;1,1589368628906;1,31009686798318;1,4348853214298;1,57158945217531;1,77404066324873;1,84093474333282
"69";70;76;1,36000410033568;0,164528830314485;1,09023715610804;1,12379719470499;1,24267411792141;1,34183643865648;1,45669102218622;1,66041941102186;1,7363430826758
"70";71;77;1,43272403865011;0,152545840657645;1,18333603129197;1,21542521194668;1,32568140522647;1,41578090479099;1,52081571796585;1,70854735377178;1,7852696908022
"71";72;78;1,27635901548718;0,125132204607995;1,05740832442196;1,08926393864334;1,1903484381722;1,26677703785918;1,35147165234457;1,49995256633884;1,553829071412
"72";73;79;1,11191913472688;0,0997223154345048;0,932120876783569;0,95858354365624;1,04200935040245;1,10635625221813;1,17471104707686;1,28473825176242;1,32733411258757
"73";74;80;1,03420629797608;0,081298022474997;0,888553866124867;0,909101735040802;0,977408201321911;1,02958891063976;1,08571317362902;1,17511286065206;1,20835717553289
"74";75;81;1,05691446483202;0,074458074019927;0,920359525562761;0,93989398576563;1,00574843792366;1,05420155340095;1,10391434333225;1,18401257264211;1,21302123203657
"75";76;82;1,12185168373188;0,0718912763618377;0,987000211130411;1,0067456579848;1,07224863132039;1,11999784648263;1,16875473039567;1,24342411200591;1,26897371708973
"76";77;83;1,14436594886204;0,0690663191529936;1,01229103132311;1,03296291205296;1,09693130087915;1,14279599663066;1,19030991865566;1,2593512545927;1,28372370680543
"77";78;84;1,06265716509955;0,0648245857455417;0,939400673348322;0,95837517380272;1,01868960523804;1,061369677849;1,10575535708237;1,17100624056774;1,19435469728209
"78";79;85;1,11431090885186;0,0665221786635039;0,987403935155262;1,00825802053997;1,06836048537571;1,11304984396696;1,15811597019218;1,2260466905268;1,24833694295628
"79";80;86;1,1998907495045;0,0694013005624518;1,06909998032401;1,08961309618593;1,15217513968037;1,19800433290987;1,24535664693746;1,31778592246983;1,34067283352432
"80";81;87;1,16404593137728;0,0716494763917797;1,02675030627176;1,04873695856887;1,11556410266946;1,16301233349269;1,2115476209026;1,28276648682738;1,30868234698395
"81";82;88;1,05404844983134;0,0678270464934786;0,925123610388163;0,944579340154632;1,00744163863205;1,05315161172399;1,09910792503718;1,16780363927916;1,18955459653757
"82";83;89;1,06674971889215;0,0644393369899341;0,946293216199642;0,964194553389633;1,02182757207716;1,06485814313931;1,11000728012761;1,17552719887896;1,19778230779235
"83";84;90;1,01754851038902;0,0607105305529078;0,90230741931358;0,92019275601804;0,975844012868335;1,01617030651947;1,05755409372624;1,11952810340962;1,14078894391946
"84";85;91;1,0183435322732;0,0584356817518788;0,907750123873599;0,92464510975476;0,978021106425343;1,01766761663439;1,0570651002852;1,11696242533726;1,13719384232128
"85";86;92;0,898147771489244;0,0530138200583071;0,796672442200469;0,812226856630294;0,861628184709298;0,897349184072571;0,932956368282845;0,987706946750152;1,0039885337632
"86";87;93;0,842575450257397;0,0519623993503698;0,744402236565325;0,759624256601576;0,806693293199634;0,841528320399371;0,876739377573045;0,929263715374542;0,94718805615921
"87";88;94;0,901143206550598;0,0598627907435732;0,792456666874559;0,808153974079293;0,859273315637619;0,898611382427864;0,939514350236467;1,00329016897241;1,02640674623917
"88";89;95;0,982302645700614;0,065003938758408;0,861647984335191;0,879052106941549;0,93659267912881;0,980420696693585;1,02581097094864;1,0928326321328;1,1154187751663
"89";90;96;1,06433068107507;0,0646219440327574;0,940200473515482;0,959586624483565;1,02002403832388;1,06365360705417;1,10739920468286;1,17267274688506;1,19347238305876
"90";91;97;1,28638756445664;0,0703895768203331;1,15282646975896;1,17383528794337;1,23851496570785;1,28431288012497;1,33237620469844;1,4046383993303;1,43127305461622
"91";92;98;1,32681833708518;0,0853518347121659;1,15185988977225;1,18204059032645;1,27186774174806;1,32945261478179;1,38402215157277;1,46308888331182;1,48824687118553
